trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.17508214765990748}",20,5,-19.83477161595019,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.8, 'e': 0.1686381472685955}",20,6,1.8664223093363792,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.16283790839019696}",20,3,-27.33127698135032,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.1560622988265382}",20,10,3.3734524312886327,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.1522091069394503}",20,12,2.4116503404158003,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.14919516468725522}",35,20,11.248405050809941,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.14370394977770293}",25,14,17.934078033338743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.1398059345216602}",25,0,19.56851005734058,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.13133552114849303}",25,11,20.99450068498867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.1268182905679951}",20,0,-9.000030961011737,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.12063328955315826}",20,14,11.07003013328243,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.11883729385240965}",30,17,11.807742032671953,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.11503716832633237}",20,12,19.622208334174683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.11275927977443688}",20,0,26.95946678760942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.10725994480695261}",25,0,15.128869877153281,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.10076139326830373}",25,15,-1.8217697180607515,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.09827358560436154}",20,0,-22.095420168462635,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.8, 'e': 0.09348072627805847}",20,6,-0.000921799698766046,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.09026549560978427}",20,6,17.643242771257743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.0871608514619813}",25,12,11.52237031578059,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.0843736609616097}",25,10,4.052705487287277,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.08126823924089167}",20,12,-4.391414626138045,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.07965902028589801}",20,7,23.60638557970772,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.07711171996831671}",25,16,14.245787224090824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.07539607960112776}",20,0,17.850380185980498,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.07171896940859077}",20,9,17.025903683511256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.06977356959644364}",20,15,4.280349114318468,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.06890682839466256}",20,8,19.631340368649003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.0668703238465938}",20,15,11.762270731535681,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.06603964734273264}",20,12,14.47154238787813,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.06473197471099253}",25,2,38.27659212862123,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7996349243768505, 'e': 0.06111487433258836}",20,9,-5.752245798504955,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.7978776612414331, 'e': 0.05945711396561112}",20,0,30.467591519977052,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.7946925251155662, 'e': 0.05655735629998164}",25,7,-1.4203130413929999,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.7918367754587413, 'e': 0.05406869020191986}",20,3,32.015314135372655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.789149102056091, 'e': 0.05181891717272583}",20,8,13.610545568114283,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.7872574151434611, 'e': 0.050287436723591865}",20,0,25.013018455678484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.7841146751531868, 'e': 0.04783488949419837}",25,13,-30.73335712301234,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.7822350563775667, 'e': 0.04642115485743125}",25,19,10.71376205122594,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7812969372939381, 'e': 0.04573003390021825}",30,5,29.53313222148733,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.7774002025624911, 'e': 0.0429593912087681}",20,12,13.792735206189182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7761573567801574, 'e': 0.04210873826890038}",20,0,13.874224244712032,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
84,False,"{'a': 0.7730589283411515, 'e': 0.04005507086997729}",30,16,27.274774961195167,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7708973909064093, 'e': 0.03867739338063076}",25,3,31.362201570466496,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7675128937405064, 'e': 0.036607578396321394}",30,14,28.973428449858428,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7650607779582601, 'e': 0.03517217471612634}",20,0,26.37517838159983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7620066471801566, 'e': 0.033456807513659426}",20,12,0.22422937654178554,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.7607884113931882, 'e': 0.03279431833796845}",20,10,17.457186569325536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.759268355133347, 'e': 0.03198462373323315}",35,14,33.83202879872626,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7560861154230696, 'e': 0.030348748436622202}",20,8,20.066432137535422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.754273684533089, 'e': 0.02945180736910729}",30,11,35.2269884994894,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7514128834963295, 'e': 0.028085551959865365}",20,12,15.05223313548439,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7502115841784668, 'e': 0.027529420770147972}",20,11,17.164883349295422,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7488624179408343, 'e': 0.026916925217228112}",25,7,32.8523115416555,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7461713600467984, 'e': 0.02573251272635994}",20,15,6.957056219077028,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
